Response Time,Concurrency (WC1)
22.639957,1
39.579788,2
38.010249,3
37.714149,4
28.185266,5
19.333133,6
72.961125,7
12.741266,7
73.987769,8
55.81572,3
31.097729,4
43.802396,5
57.384048,6
64.854974,7
68.043314,8
54.323395,9
83.433806,10
98.298397,10
64.821193,10
18.135488,11
80.434283,11
74.47697,10
86.144343,11
83.01048,12
88.222413,11
76.202036,12
82.729052,13
110.070598,12
110.080596,13
128.445028,13
146.901243,14
132.396735,15
140.792038,16
133.572817,15
130.426043,16
177.53886,17
169.664402,17
170.934837,16
165.660586,17
157.109054,15
175.800719,16
183.038519,17
229.193938,17
186.305423,17
199.080924,18
219.138351,19
207.084267,20
229.996119,21
200.269277,22
207.568686,23
219.779398,22
220.453355,23
242.016046,24
243.817629,25
241.711974,26
267.097711,27
271.785609,27
276.291504,28
264.24077,29
9.726451,20
227.500536,19
281.932424,19
245.558731,18
210.941999,11
225.045298,12
218.820532,13
238.786729,12
243.8831,12
242.089775,13
253.238192,14
241.691311,15
265.990507,16
274.539036,16
253.073588,13
238.280064,14
253.807708,15
276.88393,16
201.694425,8
214.530414,8
192.747146,9
197.634722,10
240.300824,11
232.396049,12
216.590665,12
252.154658,13
207.355864,14
241.054213,15
253.673268,15
238.319329,16
209.583541,17
195.74513,18
259.275296,18
250.575394,16
265.81873,17
247.25521,18
270.636344,19
276.105936,18
326.051284,19
259.000792,20
290.282365,19
309.625041,20
349.993198,21
324.716559,22
350.784233,23
350.662543,24
337.171626,22
353.255828,23
394.560093,23
407.084009,24
473.420204,25
461.965599,26
457.610569,26
481.718503,27
452.324838,27
457.841441,28
26.036845,28
468.016884,28
461.659234,29
466.982987,29
307.363795,20
265.037948,14
270.397558,14
276.486405,15
274.621625,16
243.084287,17
250.559844,18
250.51662,18
208.206778,18
169.285934,18
195.396902,18
205.491796,19
209.612725,18
239.411035,14
247.051645,15
263.94559,16
254.565218,17
252.045225,17
226.891003,18
252.050201,19
199.818209,17
219.574444,16
265.310169,14
261.876851,15
263.477538,16
243.835178,17
259.570511,16
259.50321,16
251.911347,17
244.786181,17
244.498521,18
234.811711,19
214.133284,20
207.768267,21
196.391478,21
192.610392,22
182.856967,22
174.673571,22
187.843714,21
183.130137,21
189.916235,22
222.931475,21
187.113222,22
26.208133,23
179.826134,24
187.526836,25
206.628907,25
207.32628,25
221.132844,26
208.260832,27
261.205502,28
209.566887,29
207.386213,30
260.686248,31
273.497448,32
287.329678,30
284.688597,31
285.101106,32
324.600575,33
308.607811,34
321.330217,33
261.599807,1
269.489465,2
263.292721,3
250.766573,4
242.983593,5
250.954647,6
228.423272,7
238.858546,8
213.590934,9
213.692201,10
239.175039,11
230.90412,12
217.623803,13
215.494828,14
227.6402,15
213.951083,16
179.59462,17
187.796981,18
186.134351,19
172.109932,20
188.315854,21
163.811902,22
168.17328,23
153.394137,24
152.943935,25
142.29275,26
156.822338,26
140.162808,24
164.751402,23
146.277415,24
178.506427,23
173.510016,22
159.092423,23
153.614759,20
205.096313,21
200.015872,21
219.224732,18
221.896421,18
222.908453,19
282.21814,19
293.844744,15
286.470887,16
302.511028,17
292.735105,18
292.421478,17
274.701979,17
276.326245,17
294.549653,18
286.917233,18
296.14244,19
322.532479,17
350.923322,18
345.94171,19
