Response Time,Concurrency (WC1)
82.791446,1
111.365925,2
65.838263,3
60.051467,4
129.697607,5
69.668093,6
201.239983,7
113.734691,8
201.402977,9
213.929583,10
420.996865,11
326.106429,12
215.974874,13
379.916096,14
394.389112,15
320.08172,16
219.445616,17
373.545511,18
368.520198,19
378.195127,20
240.860322,21
191.845352,22
199.516914,23
329.516182,24
229.011692,25
364.843822,26
237.444099,27
515.167953,28
533.277375,29
589.120689,30
471.094801,31
614.926605,32
598.81553,33
613.587259,34
592.194994,35
597.147193,36
612.141531,37
612.033937,38
612.814499,39
674.957983,40
669.409239,41
625.895348,42
693.953733,43
670.623591,44
677.585505,45
677.699805,46
673.325911,47
662.173314,48
667.288183,49
661.536273,50
676.611534,51
724.938655,52
668.356011,53
755.671671,54
838.825342,55
827.965875,56
706.702468,57
727.635909,58
829.19514,59
249.298264,37
493.885263,36
297.958236,36
486.525276,36
441.588352,36
422.951652,37
469.856979,38
481.666058,39
439.268609,40
471.599155,41
483.842478,42
455.215383,42
517.255292,43
519.247791,43
482.205299,34
485.947354,34
595.39577,35
542.688083,36
470.425829,21
462.893072,22
604.904839,23
515.9838,24
589.089771,25
548.326092,26
578.812733,27
746.263356,28
745.459115,29
568.602291,30
751.253006,31
694.186393,29
727.792994,30
673.21276,29
711.650526,30
624.549007,27
634.735454,28
644.843086,29
638.725401,30
643.735761,31
692.155016,32
674.852135,33
647.602379,34
673.124189,34
652.462337,35
420.885853,33
644.952847,33
660.484972,34
463.303145,35
703.279697,36
794.389944,37
539.445024,38
743.549102,39
678.517209,40
703.025799,41
761.258767,42
802.974497,43
574.153601,44
802.317772,45
851.691151,46
806.416201,47
822.282119,48
550.357634,40
498.662823,37
481.413125,37
479.9423,38
504.359572,38
459.145861,39
487.160398,40
520.438657,41
481.236858,41
480.096811,42
456.829184,43
478.87066,44
489.441303,45
456.694975,41
448.729902,42
464.357382,43
464.044721,44
437.361135,36
461.954629,36
462.470743,36
418.06274,32
464.881962,32
558.188004,33
539.567839,34
604.519975,33
260.887046,34
639.798606,35
641.415351,36
589.773636,37
625.967269,37
661.052112,37
659.851376,38
591.113537,38
576.893884,39
576.41992,37
562.837949,38
601.87554,38
593.619146,39
642.379237,40
603.47269,39
591.210217,40
579.487012,39
634.267323,40
252.685407,39
565.923121,40
571.815271,41
579.374437,42
578.105533,43
637.477712,42
582.617653,43
638.906272,44
635.724334,45
669.545029,46
631.014963,47
641.200952,48
688.489156,49
661.081989,50
659.5381,51
654.472675,52
660.992112,52
705.394797,53
411.976834,28
426.390106,28
417.056922,29
392.935259,30
400.014998,30
417.679015,31
430.119904,29
427.564447,30
380.006608,28
400.243665,27
255.29277,28
403.714915,26
386.250968,27
420.900307,27
445.870898,27
436.136696,28
414.13243,29
425.663577,30
423.37384,31
445.352438,27
496.149237,28
479.76759,29
470.995492,29
456.478952,27
457.136635,27
441.727994,27
456.113251,28
462.648943,29
442.246239,30
456.354629,30
513.997506,31
479.65669,32
506.534178,33
518.440872,34
568.995676,35
544.856307,35
304.531133,36
576.914938,37
635.672534,38
582.204095,39
580.656935,40
568.493072,41
567.469616,42
606.664285,41
311.508861,42
558.646378,40
555.605575,41
551.675306,40
545.324097,41
