Response Time,Concurrency (WC1)
64.153048,1
44.077929,2
52.680279,3
60.059192,4
37.521869,5
33.459942,6
56.65504,7
91.85464,8
59.109196,9
59.982106,10
60.009145,11
32.781853,10
32.425173,11
52.449981,9
95.210986,9
100.729818,10
149.340808,10
132.490481,11
128.668393,9
117.120928,10
164.976558,11
181.736622,10
174.338321,11
177.020378,12
160.180563,13
178.130619,14
178.341263,13
186.296613,14
167.748558,15
167.842619,16
175.431705,17
184.195275,18
177.045827,19
179.168397,20
237.145125,19
170.049434,20
177.358944,21
211.205455,22
213.911666,23
242.109102,24
243.587814,25
239.819417,26
244.286484,26
220.410204,27
267.812323,27
253.840386,27
246.754007,28
316.779052,29
250.038344,29
260.475349,30
213.024974,7
218.326118,6
223.178756,6
210.106991,5
216.435809,6
215.329169,7
214.924671,8
162.396419,8
145.642134,9
144.740891,10
151.942626,11
161.098472,12
149.915866,13
110.978578,12
98.64525,10
100.124768,6
84.897122,7
102.951915,7
91.450317,5
116.243325,6
110.346363,6
124.066541,7
147.519722,8
191.413035,9
125.741117,9
118.84229,10
126.983769,10
139.269416,11
126.069612,11
153.793036,12
131.44905,13
120.442162,13
121.568696,14
166.275519,15
152.317427,14
222.170965,15
148.781861,16
209.017474,17
220.913472,18
218.908237,18
233.073779,19
235.104377,20
215.292388,21
220.322801,22
219.381394,22
241.885791,23
229.000248,22
231.493143,23
227.453257,24
241.395433,25
11.064773,1
5.61712,2
7.176063,1
49.2654,1
68.437725,2
26.272742,3
24.663432,4
34.361699,5
16.810305,4
30.488269,4
43.070887,4
15.106051,1
21.189284,2
18.178807,3
22.035557,4
62.610245,2
82.239746,3
57.524742,4
67.407677,5
62.816927,6
55.971041,7
62.038636,7
73.843369,8
125.920539,6
139.965459,3
113.868835,4
115.250606,4
114.267587,5
114.963463,6
103.557423,7
96.442247,8
99.624239,9
103.964657,10
106.855696,11
120.487319,12
139.351468,13
134.15722,12
156.116076,13
141.307412,14
139.017,12
184.920238,13
195.286899,14
222.443022,12
257.961166,13
232.243456,14
232.105299,15
249.434161,16
236.54241,15
243.817594,16
243.079698,17
3.961891,1
0.579123,1
6.795611,1
6.567565,1
6.355315,1
6.065467,1
14.328737,2
44.372081,2
66.346473,3
39.760746,3
34.986271,4
54.980278,5
62.379514,5
52.05102,6
62.515831,5
58.741567,5
109.431201,5
85.197582,6
101.779038,6
100.451852,6
116.527993,7
117.95001,6
90.204929,7
90.49091,8
87.40192,9
107.947628,9
84.274662,10
93.200243,11
109.603653,10
121.321286,10
121.202149,11
135.382106,12
137.077048,12
167.900645,12
192.614455,10
183.288042,10
200.4498,11
217.577216,10
185.417694,11
195.045637,12
185.782279,12
192.000474,13
209.857246,13
210.007479,13
228.868903,14
251.579003,14
243.47221,14
254.278747,15
248.477359,16
247.346164,17
10.360247,1
12.000863,1
10.683768,2
1.36919,2
8.721218,1
1.221535,1
63.836634,1
11.92147,2
6.111948,3
43.008869,2
27.580823,3
133.573222,4
64.44428,5
60.246008,3
67.105151,4
79.037973,5
107.820217,6
60.104297,7
55.279806,7
59.537972,8
67.972523,8
52.962343,8
52.56964,9
68.26037,8
70.30485,7
55.351682,7
39.406542,8
114.818053,7
118.526885,6
114.700146,6
109.15318,4
120.687022,5
110.046994,6
138.632949,7
142.399825,8
131.100755,9
114.235189,10
115.756063,11
109.640118,12
143.00605,12
121.191082,13
113.243858,13
105.652395,13
135.039127,13
99.938849,12
103.375834,13
119.154728,14
103.213032,15
108.765591,14
131.083844,11
7.896526,1
3.548991,1
29.606436,1
14.116614,2
12.716862,3
12.634357,4
37.163626,1
58.251084,2
39.966774,3
44.042213,4
69.217004,5
77.105835,6
91.76306,7
90.716924,7
149.708253,8
108.920618,9
118.295236,7
127.354494,8
92.363473,9
110.729255,10
107.71408,10
83.790318,10
103.169979,11
103.957359,11
77.309665,10
63.451812,9
85.062715,10
85.807431,11
121.532739,12
97.832734,13
154.992449,12
138.083657,11
142.01394,11
126.857967,11
139.028924,11
140.743564,12
135.781398,12
123.672223,11
116.197906,11
122.264967,12
113.071221,12
111.682654,13
107.925416,14
101.064421,14
81.756803,15
83.197762,16
75.891603,16
113.217206,14
118.4356,15
119.219921,16
2.328219,1
14.871602,1
7.259799,2
15.118395,1
16.618149,2
8.345418,1
13.756083,1
1.065861,1
1.289421,1
28.863591,1
22.297583,2
19.455334,3
2.820096,4
47.879936,2
14.379777,2
10.515204,3
18.574242,2
