Response Time,Concurrency (WC1)
325.651228,1
366.362586,2
302.320067,3
278.739208,4
269.763511,5
231.81673,6
242.668838,7
193.352609,8
158.293959,9
198.168733,10
198.562461,11
137.419129,12
151.75337,13
80.255646,14
135.016872,15
103.984733,16
206.79007,9
258.668178,2
201.327227,3
58.543737,3
6.425054,1
12.00523,1
21.221982,1
2.592484,1
24.902713,1
6.346332,1
14.079862,1
11.833128,1
19.273359,1
50.097086,1
32.677914,1
32.990594,1
26.012558,1
9.603008,1
15.278287,1
18.361514,1
14.273086,1
3.949589,1
2.670609,1
12.378542,1
39.365053,1
12.682247,1
3.154417,1
32.291283,1
9.863,1
9.802733,1
58.264118,1
6.488306,1
5.118543,1
38.051483,2
25.544367,1
8.061841,1
4.428861,1
18.325204,1
16.908354,1
13.386573,1
5.971022,1
17.676101,1
5.309362,1
29.07494,1
4.528207,1
2.622583,1
6.309553,1
13.266855,1
3.298356,1
33.599912,1
6.875783,1
3.001021,1
36.028793,1
53.487882,2
22.462859,1
25.441573,1
11.807567,1
18.383367,1
10.505664,1
7.475859,1
19.261776,1
13.481345,2
13.727855,1
17.600348,1
8.722887,1
20.070599,1
2.412584,1
6.189072,1
13.400971,1
9.119599,1
2.858164,1
19.196785,1
15.603755,1
7.371732,1
11.303353,1
15.478408,1
24.103333,1
6.701749,1
19.787419,1
26.090955,1
3.534927,2
27.116862,1
6.344675,1
28.073129,1
5.089101,1
20.095536,1
11.315702,1
2.16283,2
21.812764,1
7.839789,1
24.757015,1
10.215334,1
10.528015,1
8.076082,1
9.67905,1
9.27049,1
13.608769,1
33.8527,1
13.562508,2
14.757185,1
7.967648,1
5.043606,1
48.475826,1
21.108365,2
22.318126,1
3.358397,1
4.789008,1
18.010588,1
7.042039,1
22.882428,1
12.650889,1
13.857648,1
51.17418,1
2.259077,2
20.137112,1
3.365853,1
8.823143,1
3.112117,1
36.869156,1
11.123927,1
25.354329,1
9.655924,2
6.691361,1
15.245035,2
4.122251,1
28.856913,1
5.556841,1
13.712678,1
14.292839,2
29.612669,1
7.412462,1
7.71397,1
12.090253,1
3.588306,1
8.689007,1
