Response Time,Concurrency (WC1)
51.449511,1
29.459407,2
24.604274,3
58.637726,4
23.373483,2
33.750473,3
20.856041,3
30.306078,1
15.277139,2
28.241758,3
21.056065,4
65.256585,5
71.294795,2
108.045787,3
95.655591,3
62.634481,4
75.136215,5
96.336021,5
36.113962,5
66.038373,6
69.057327,7
60.975083,7
93.91194,8
61.152513,9
98.783114,9
85.189532,7
117.79012,8
163.854914,5
171.470934,6
152.385368,6
149.804366,6
142.676224,6
135.694928,6
141.876754,7
141.593561,8
125.909721,9
124.723847,10
112.995378,9
135.325969,9
125.040425,10
127.000979,10
103.039377,10
103.844105,11
147.159438,7
205.098197,7
125.631121,8
196.880085,8
102.61074,8
125.867801,9
125.478682,8
156.51799,8
122.112923,7
223.783717,5
158.702896,3
153.00011,4
168.300186,5
176.333327,5
181.527563,6
173.983708,7
114.595173,8
73.562809,9
94.520352,8
83.018492,8
118.782716,9
87.788184,2
59.658092,3
71.049027,3
56.551355,2
24.865161,3
17.7286,4
66.344634,1
39.638586,2
27.197234,3
91.910921,1
11.688012,2
27.577517,3
60.53431,3
87.721035,1
71.110396,2
63.572853,3
32.445869,4
27.948805,1
14.514249,2
34.828022,1
10.028494,1
22.113023,1
5.866972,1
7.968584,1
25.779369,1
14.281064,2
25.564633,1
5.733086,1
6.284091,1
3.841531,1
10.748328,1
72.843847,1
4.084991,2
34.166211,2
39.7536,3
12.179368,3
33.092967,1
34.057769,2
60.849566,1
27.083664,2
10.709437,1
6.667361,2
86.755255,1
52.695881,2
26.205019,2
37.494197,3
36.678777,2
43.920478,2
56.41144,2
16.276954,1
41.601911,2
7.104464,1
18.652781,1
22.319755,1
61.997868,1
21.307121,1
5.092266,2
21.167126,1
1.724347,1
22.996,1
0.951051,1
57.786321,1
3.250484,2
10.08457,2
9.311864,1
27.801947,1
6.07275,2
20.736778,2
3.73435,2
21.076387,1
23.210151,2
5.43179,1
29.705553,1
8.025606,2
18.365214,1
3.074702,1
47.067879,1
42.742278,2
17.231981,3
32.740322,1
6.489757,1
1.429147,1
5.859532,1
1.16011,1
1.374292,2
21.040034,3
2.340175,1
7.556929,1
25.483676,1
40.940431,2
22.259512,2
15.603546,1
5.826675,1
63.457685,1
40.817529,2
11.445834,2
8.76641,1
19.283874,2
22.130559,1
1.686078,2
10.470048,1
14.992595,1
3.440025,2
2.42497,1
20.330905,1
30.845945,2
7.258961,1
11.475478,1
41.403791,1
33.231329,2
16.532697,1
8.673865,1
22.876736,1
22.625897,2
31.448916,3
27.864499,3
21.312201,1
7.812997,1
8.47591,1
32.727007,1
1.846806,1
14.680035,1
27.632421,1
58.329312,1
38.738414,1
9.972426,2
26.820112,1
7.662153,1
53.887065,1
27.352202,1
20.863041,2
49.037372,3
44.070144,4
47.583378,3
49.893579,2
11.940685,1
34.382695,1
1.446141,1
6.430967,1
21.22761,1
31.808179,1
53.453454,2
33.061764,3
10.783437,1
3.997153,2
49.587704,1
24.849875,1
41.438063,1
23.088266,2
55.566991,3
49.813258,4
72.512886,4
38.517587,5
99.519246,3
43.747818,2
38.795124,2
7.765078,3
50.454431,2
20.512965,2
10.936896,1
2.933418,1
6.88554,1
11.976676,1
3.667864,1
28.659297,2
37.601967,1
26.092401,1
24.974992,2
11.826998,1
11.243434,1
9.866721,1
18.939272,1
12.92012,2
21.658291,1
23.833148,1
1.282593,2
3.76351,1
1.882375,1
26.31496,1
0.578464,1
17.757559,1
23.772729,2
25.169477,1
137.279419,1
10.310771,2
21.996526,2
1.677144,2
34.212998,2
7.512643,2
38.218313,1
3.926875,1
23.8809,1
9.029156,1
9.086733,2
1.399177,1
14.609799,2
35.786344,3
20.217526,2
41.818204,3
21.983611,2
4.878045,1
4.69783,1
71.291241,1
48.515327,1
36.459991,2
4.321012,1
1.140622,1
31.616663,1
16.567453,2
39.154452,3
42.21146,2
31.422077,1
9.485048,1
0.69621,2
19.387863,1
28.799269,1
12.681358,1
3.860219,2
35.215191,1
3.16075,1
2.205851,1
23.213425,1
8.198392,1
31.298649,1
6.108002,2
19.641079,1
13.386424,2
24.769105,1
42.634682,2
51.41218,3
49.783593,3
44.6319,2
65.607683,3
59.347047,3
34.175541,3
11.663667,1
4.771317,1
2.799221,1
53.544672,1
4.926026,2
47.501282,1
13.29762,2
7.065077,1
10.854205,2
27.332183,1
7.601359,1
8.45074,1
2.615643,1
17.045735,1
4.132932,1
9.629591,1
23.387405,1
13.847982,2
5.028584,1
6.144283,1
27.24587,1
12.041294,2
8.938119,1
9.269265,1
20.767643,2
25.942022,1
2.003813,2
42.944247,1
35.603185,2
24.792554,1
10.919113,2
10.45146,1
9.378381,1
7.803069,1
12.800354,1
3.139067,1
18.578461,1
37.637206,1
1.897288,2
6.128062,1
7.638886,1
95.399061,1
40.496254,2
69.917636,3
46.879396,3
29.664245,2
28.779912,1
10.280047,2
28.215286,2
30.838355,1
11.381393,2
5.699704,1
19.831322,1
19.744387,2
29.291957,3
30.160177,1
10.407348,2
2.902067,1
38.757498,1
5.694878,2
12.209173,1
13.919158,1
6.012581,1
11.400207,1
58.071293,1
3.6357,2
24.033746,2
20.795342,3
2.581886,1
15.270646,1
13.337037,1
10.917002,1
23.323696,1
6.81732,2
10.406871,1
12.367414,2
20.075212,1
29.401168,1
60.78648,1
5.67201,2
8.337758,1
19.000625,2
12.447978,1
12.637157,1
9.757794,1
1.662692,1
36.36612,1
22.14241,2
35.342532,2
42.014092,3
43.561396,4
14.528863,2
29.106833,1
5.606218,2
21.839858,1
2.007365,2
6.031372,1
35.503937,1
15.364313,2
24.306269,1
29.069475,1
10.4652,2
12.457913,1
46.903316,2
2.245496,1
19.221157,1
68.199681,2
6.920204,2
1.82655,1
3.348341,1
1.567861,1
9.617497,1
16.086858,1
5.750198,2
16.66704,1
8.686811,1
14.167496,1
50.287515,1
2.380486,2
4.117831,1
6.749271,1
3.931105,1
19.902946,1
18.650332,2
10.990407,1
26.914789,1
31.927708,1
2.99157,1
6.354797,1
3.265036,1
22.887197,1
6.024897,2
19.305351,1
