Response Time,Concurrency (WC1)
60.156548,1
12.753328,2
24.281343,3
67.260642,1
59.457231,2
83.800169,3
34.815393,4
38.461257,2
36.820753,1
40.117996,2
137.967302,3
6.05325,4
93.961034,3
104.864022,3
113.884853,4
95.57435,4
106.988066,5
123.732995,6
127.773157,6
118.53343,5
105.845289,4
137.413393,5
172.608609,4
147.010155,5
148.226112,5
148.122396,6
197.829177,7
139.194114,8
130.625795,8
213.3089,9
166.739467,10
162.461425,9
182.866224,10
34.565578,8
164.175471,8
172.968842,9
174.810891,10
194.386321,10
172.238647,11
171.579876,11
173.822045,10
168.226325,11
168.580682,10
137.71046,11
4.181735,12
170.219076,12
175.133895,13
167.673462,12
207.550138,11
233.419651,9
214.00398,10
207.581792,11
200.001527,11
268.290909,11
298.75733,12
304.115195,13
347.526852,13
321.680573,13
397.855302,13
309.739168,13
401.741911,14
346.221824,13
341.82754,10
352.232298,11
294.627915,10
342.111415,10
319.901887,9
329.031194,9
405.36497,10
342.543289,11
358.172473,11
405.43032,12
386.066725,11
404.438629,12
409.569956,13
397.306975,14
400.924595,14
355.367337,14
363.160392,15
370.330619,16
364.647156,17
439.851165,18
414.962801,19
393.154021,19
351.543888,18
317.130753,17
354.951667,18
377.081172,19
343.440995,20
372.598725,20
359.707709,21
408.287796,22
366.716441,22
45.096259,22
367.017526,22
332.747465,22
317.21622,18
306.055865,17
327.945359,17
329.043441,15
357.953193,16
506.159125,17
360.860144,17
394.181232,17
388.645636,18
365.31884,18
380.766773,19
371.17571,20
378.756663,19
423.428658,18
364.434221,19
447.212065,20
395.732935,19
411.907041,20
455.602134,20
410.94346,18
391.320545,18
364.018695,18
359.318026,18
381.134767,19
339.332458,13
346.839116,13
314.369989,14
330.273532,13
295.792071,11
324.165479,9
324.01281,10
309.162644,10
308.056547,11
33.628038,11
287.053559,12
271.653599,11
348.42363,12
266.157811,13
276.547881,14
305.613759,15
259.279446,14
285.939346,14
265.307733,15
333.722,16
254.127047,16
275.194819,17
281.508336,18
277.502825,19
305.585481,20
298.044969,20
280.067528,21
278.031305,17
257.673588,18
224.599269,13
236.302678,14
236.496228,14
247.004296,14
202.983819,11
211.073365,11
224.917661,12
186.328435,10
188.677339,11
196.005204,12
204.989838,13
187.940154,12
186.535011,13
193.790687,14
232.123199,13
208.242366,13
249.135601,14
174.054658,11
184.8311,11
177.675359,12
208.394514,11
189.586054,12
164.579002,10
127.244353,10
156.814399,10
214.946411,10
167.904227,7
159.875744,8
139.758049,6
140.122463,7
137.06975,8
175.594444,8
175.7277,9
179.165969,10
164.737864,10
169.970221,9
212.045216,7
161.763818,7
176.61137,8
160.649251,8
218.503153,8
155.480278,9
197.849403,8
197.549016,9
156.185595,7
120.651301,5
102.423361,6
104.15816,6
146.592395,7
105.452438,8
116.692952,9
194.697185,9
164.719752,7
195.6443,8
159.994561,8
157.304335,8
177.906717,6
79.400749,3
52.779309,3
42.960769,4
100.137811,5
116.916675,6
179.515373,7
176.593922,7
218.897467,8
191.985595,8
226.040568,7
196.455742,8
233.105876,9
94.043777,3
139.519022,4
120.045035,4
102.015269,5
25.523389,6
103.864929,6
213.412549,7
111.348337,8
128.953136,8
146.186508,8
138.272134,6
129.984247,6
88.516892,5
102.956307,5
112.332622,5
9.635625,4
87.677043,3
93.828045,4
93.320355,5
68.900091,6
102.992401,6
75.94941,7
68.308757,8
65.426833,4
35.276883,2
35.01092,3
43.75082,3
42.302258,4
28.120978,3
61.309228,4
50.891071,2
72.743916,2
35.502775,2
69.292332,3
60.840508,4
52.297514,3
56.810313,4
81.555327,5
94.778838,6
99.25796,3
70.568326,2
83.303538,3
102.421977,4
59.220091,5
38.26829,1
65.825353,2
20.986525,2
40.146505,3
45.177619,4
70.757456,1
50.764639,2
45.705191,3
28.414131,4
21.468055,5
47.136782,6
22.661185,3
4.281159,1
6.899543,2
14.74028,2
37.380327,2
5.61458,2
26.536188,1
23.077839,2
26.200698,3
72.39417,1
53.764354,2
58.609356,3
27.936469,3
48.466511,2
18.33453,2
30.443511,2
30.934567,2
56.241119,1
84.650888,2
17.205509,2
25.52873,2
6.246803,1
7.824479,1
8.325217,1
38.20421,1
14.168545,2
32.362999,2
43.922311,2
27.794306,2
65.527429,3
9.490594,3
3.183121,2
2.541896,1
69.517718,1
15.69597,2
91.647844,3
45.51157,4
16.836033,2
86.741762,3
66.852743,2
71.32753,2
74.907735,2
108.137046,3
55.204391,4
76.027717,5
94.926045,6
34.042563,2
11.837013,3
14.734541,2
15.941055,3
35.43592,4
70.764099,1
59.832171,2
27.779372,3
32.172791,2
16.813332,2
86.443453,1
38.882793,2
39.346862,3
4.977881,1
54.454363,1
36.283911,2
31.122722,1
78.09206,2
50.637999,3
15.287773,2
2.558264,3
37.85005,1
39.668711,2
15.177459,2
16.400135,1
63.311066,2
58.209259,2
62.013161,3
1.625279,2
9.793876,1
44.304978,1
24.291145,2
19.226834,2
37.637306,1
59.057343,2
37.159856,3
26.967838,1
25.017086,2
2.995637,1
18.922102,2
37.769508,2
15.93646,1
33.596343,1
46.898801,2
6.944005,2
6.535532,1
41.373296,1
24.487376,2
5.961457,1
5.136041,1
10.037587,1
39.087697,1
22.089354,1
36.295128,1
37.314217,2
49.355156,3
60.435399,4
14.917989,2
0.9359,2
33.137781,1
12.703994,2
9.29587,3
10.627623,1
38.287234,1
83.60179,1
44.273967,2
90.407404,3
69.356943,2
53.528172,2
24.242272,3
23.673836,4
37.824273,5
50.204077,2
41.892383,3
33.606665,3
39.699576,1
60.045535,2
61.573974,3
49.03241,3
44.775026,4
133.61336,5
103.737739,2
173.16994,2
33.420902,2
36.348262,3
46.911762,4
76.82961,5
101.615529,5
86.564904,5
96.307228,5
50.946287,4
34.424018,2
42.87832,3
113.082212,4
53.528223,2
59.612175,3
51.454072,4
53.05036,4
39.66268,2
28.891941,2
7.904545,3
3.277911,2
54.310957,1
19.488677,2
37.568084,2
12.886691,1
60.795598,2
11.458767,3
15.155638,1
12.214741,1
18.448807,2
10.002397,1
11.178379,2
53.129168,1
44.451422,2
44.500636,2
82.525341,2
6.397872,2
60.615528,2
15.311196,2
37.456029,3
8.748775,3
120.222385,1
2.926897,2
21.203969,2
15.605029,1
7.094047,2
12.917611,1
33.835101,1
47.1787,2
96.455021,3
59.987403,3
30.748061,3
20.963792,4
60.951982,3
53.250127,4
48.589068,3
2.082909,2
28.620281,1
26.205128,1
9.683537,2
3.023656,2
16.982958,2
32.216609,3
21.151581,1
25.420144,2
47.953108,1
11.092812,2
72.804591,2
63.776984,2
50.78004,3
35.793638,3
80.660948,4
57.572032,5
52.662506,5
53.313867,5
45.700217,3
11.535093,2
46.356252,3
41.478079,4
9.987573,1
5.896406,1
51.503619,2
36.613996,2
15.90725,1
18.375375,2
29.915731,1
22.321321,1
38.02323,1
7.465535,1
7.670234,2
3.612063,1
1.991771,1
11.205737,1
2.156463,1
52.283354,1
12.81333,2
12.59029,3
12.368548,2
19.029638,1
5.681446,1
4.623744,1
35.290162,1
11.592712,1
21.090713,1
11.760371,2
16.248038,1
49.212636,1
22.443547,1
4.791576,2
10.643927,1
8.018226,1
27.137316,1
21.378935,1
18.267948,1
13.329777,2
39.830744,2
79.70659,2
93.194993,3
95.515358,4
57.046924,4
11.676,1
31.799619,1
43.67835,1
10.680252,2
5.503642,2
5.24748,3
28.242872,1
36.46517,2
12.337487,1
66.903222,1
8.985311,2
21.162474,2
40.101334,1
7.538896,1
16.808209,1
17.073568,1
7.013228,1
70.743727,1
35.432023,2
55.774858,3
78.586081,2
26.721487,3
42.049227,4
23.634526,2
66.97763,3
64.360543,3
141.726122,4
77.519829,5
57.877457,5
58.428577,4
38.872723,4
33.732084,5
49.973392,5
34.682145,6
13.388818,2
38.784628,1
11.128124,1
43.030899,1
3.319169,2
8.780942,1
15.859188,2
27.017932,2
11.823977,1
46.383157,2
2.285729,1
18.963589,1
15.226355,2
21.420957,1
16.54265,1
8.527109,2
29.503542,1
17.55922,1
2.436856,1
3.080215,1
28.109991,1
13.917916,2
3.400635,1
2.617935,1
24.86303,1
77.966849,2
81.358646,2
27.408186,3
2.249873,3
36.429904,2
0.778572,1
70.528729,1
1.633061,2
20.55471,2
50.34514,2
36.424391,1
42.95567,2
63.549244,2
12.598965,2
15.902339,3
15.45296,3
26.774707,4
3.656226,1
2.907073,2
25.711895,1
4.13151,2
40.054953,1
10.35852,1
3.817598,1
15.342789,1
76.67039,2
64.251816,2
4.197128,1
42.454036,2
10.277923,2
7.075015,3
5.015395,1
2.278463,1
57.069138,1
47.053953,2
67.96456,3
45.422147,4
38.790993,2
48.738082,2
4.69497,2
34.664616,2
67.71764,1
59.53271,2
6.13458,2
35.357561,1
12.128078,2
60.396223,1
10.508697,2
88.893105,2
53.863976,2
37.712779,3
26.085724,4
4.471285,1
9.6199,1
12.706239,1
45.112803,1
60.0191,2
60.139622,3
43.58088,3
33.782428,3
17.837534,3
30.729628,3
62.202988,4
46.603831,5
31.281985,2
54.81278,3
14.925585,3
13.471548,2
6.277389,1
96.116888,1
49.993717,2
25.271391,2
45.88363,1
61.475196,1
49.687091,2
85.000839,3
64.895821,4
52.381758,3
78.820021,4
53.81233,3
32.360898,3
67.72651,4
86.807132,4
85.337151,3
81.031482,4
55.08878,5
85.442392,5
84.683843,6
60.200692,3
91.176922,4
48.614802,4
74.173651,4
108.164036,4
40.463409,2
13.642429,3
26.026313,4
17.376025,5
27.366993,1
4.766742,2
84.188037,1
35.856696,2
8.962952,1
2.06323,1
47.249234,1
28.240027,2
22.831436,3
26.814187,4
51.224865,2
86.953968,2
35.039482,2
51.128387,2
21.538978,2
19.050911,3
13.736654,3
23.933871,3
47.249034,2
66.244127,2
112.111197,1
38.6485,2
69.034888,3
70.984426,4
85.482637,4
49.42224,4
9.482634,1
4.984744,1
15.774456,1
17.175035,2
20.140336,2
52.605601,3
41.586764,4
18.03332,2
24.801387,1
5.820461,2
26.069893,1
9.970616,1
20.644081,1
44.673902,1
19.643398,2
14.402526,1
20.866521,1
45.572508,1
14.544225,2
12.821605,3
6.162031,1
15.489672,1
16.391563,1
27.882615,1
10.160528,1
12.121078,1
29.564812,2
60.399746,2
5.438018,2
7.810125,2
32.50467,1
6.221168,2
5.064895,2
6.878737,1
77.923943,2
13.219185,2
9.758579,3
17.270334,1
71.016373,1
13.244486,2
20.448459,2
7.793036,2
35.833319,1
22.466053,2
12.011753,3
3.107832,2
66.867578,1
66.92084,2
59.898188,3
4.351321,2
14.753536,3
19.331264,1
130.11623,1
79.607508,2
129.369584,3
111.294491,4
101.484779,5
55.96232,1
35.786014,2
55.230123,3
134.580002,2
47.35663,3
63.524369,4
48.689002,3
51.338204,3
56.957645,4
37.93862,5
95.650537,6
50.671672,5
46.032597,6
55.411853,1
60.598533,2
49.552236,3
32.098642,4
64.632541,5
62.551256,4
57.670631,4
28.554943,3
13.014376,2
12.761887,3
31.117693,1
24.262354,1
16.93346,2
28.568839,1
22.562559,2
16.546385,3
3.402579,1
8.144956,1
27.341353,1
0.538713,1
3.777365,1
45.820676,1
25.528936,2
33.565817,3
27.77482,1
36.590848,2
44.389541,3
25.78007,2
28.897741,3
9.532822,2
29.366507,1
20.985459,2
12.609057,1
53.532112,1
51.438511,2
85.779269,3
78.605764,4
75.964573,4
71.712789,5
52.627652,5
29.158374,4
31.375223,3
89.038414,1
10.02735,2
31.612618,3
48.923426,3
14.665571,1
40.360123,2
37.170625,2
25.181554,2
18.213673,1
38.774439,2
29.057734,2
0.734862,2
19.488497,1
21.286911,1
35.420162,2
44.604015,3
61.998836,4
41.804924,2
33.358719,3
112.638028,4
64.511741,5
38.953495,2
63.844655,2
26.27271,3
11.840493,4
39.653165,5
8.232616,1
138.644923,2
44.625369,2
59.071731,3
36.600855,1
19.484336,2
41.551448,3
15.368149,2
30.189914,3
23.460717,2
7.829392,1
27.11016,2
64.803193,2
51.204321,1
86.088124,2
25.039806,2
27.91457,2
92.433641,2
127.774434,2
50.723634,3
58.056784,3
34.309878,3
35.900391,1
62.829773,2
73.641773,3
66.033946,4
48.569568,4
65.540697,5
81.390527,3
10.791782,3
10.302712,3
