Response Time,Concurrency (WC1)
30.783208,1
20.131414,2
499.535431,2
473.711477,3
487.329899,4
499.223867,5
329.4725,6
390.742439,7
82.407172,8
50.720306,9
228.611743,10
215.854909,10
128.242535,11
59.793282,12
530.909746,13
607.070148,14
513.52938,15
539.49726,16
590.876074,17
590.64082,18
621.83057,19
606.032698,20
605.663876,21
632.007552,22
631.043988,23
91.900243,24
631.046219,25
620.585589,26
655.898175,27
253.935946,28
716.259751,29
826.107427,30
634.173776,31
727.048284,32
767.019096,33
332.916257,34
652.644987,35
871.664132,36
706.664602,37
695.482504,38
790.986543,39
804.740224,40
820.087084,39
775.510558,38
771.945866,39
753.481799,39
703.044227,40
678.578694,41
361.113502,40
667.348006,40
620.253462,41
614.308551,41
593.63519,41
630.105943,42
328.896791,43
323.030402,43
574.531428,44
571.206024,45
603.864874,45
402.408665,45
584.583668,43
564.659176,42
528.057835,43
526.35608,44
554.681911,42
547.911105,38
547.840008,33
514.985451,33
513.006234,34
481.107435,29
459.816587,30
426.475188,30
376.528583,21
377.904934,22
375.661808,23
324.989932,20
340.004568,21
268.800773,22
354.575134,23
399.75506,24
304.911686,22
309.91767,23
298.526273,23
156.282783,20
221.036095,21
210.536514,21
269.36725,21
202.889312,21
185.88789,17
107.080831,15
168.304407,14
196.548451,13
185.946436,12
186.138166,10
110.721446,8
65.138026,5
81.005943,6
114.799368,6
93.706112,5
75.134979,5
73.770325,6
70.383622,5
24.558761,2
35.573727,1
69.143451,1
49.045514,2
71.589597,3
28.216379,4
40.912979,3
25.844931,3
86.020295,3
23.266219,2
29.376838,3
116.109308,3
55.792236,3
97.257159,4
68.213706,5
79.668557,5
58.648349,5
68.178062,6
51.357672,2
43.512628,2
33.009967,3
80.616507,1
45.264346,2
24.054195,3
26.198637,3
18.451008,1
87.39484,1
74.164494,2
73.996303,3
33.941652,2
27.563024,3
30.580388,3
17.418492,2
31.115298,1
49.13238,2
27.070444,2
17.79182,2
38.680507,1
67.125879,1
32.161774,2
61.602226,3
